Name,Age,Nationality,Overall,Club,Value,Preferred Positions
Cristiano Ronaldo,32,Portugal,94,Real Madrid CF,€95.5M,ST
L. Messi,30,Argentina,93,FC Barcelona,€105M,RW
Neymar,25,Brazil,92,Paris Saint-Germain,€123M,LW
L. Suárez,30,Uruguay,92,FC Barcelona,€97M,ST
M. Neuer,31,Germany,92,FC Bayern Munich,€61M,GK
R. Lewandowski,28,Poland,91,FC Bayern Munich,€92M,ST
De Gea,26,Spain,90,Manchester United,€64.5M,GK
E. Hazard,26,Belgium,90,Chelsea,€90.5M,LW
T. Kroos,27,Germany,90,Real Madrid CF,€79M,CDM
G. Higuaín,29,Argentina,90,Juventus,€77M,ST
Sergio Ramos,31,Spain,90,Real Madrid CF,€52M,CB
K. De Bruyne,26,Belgium,89,Manchester City,€83M,RM
T. Courtois,25,Belgium,89,Chelsea,€59M,GK
A. Sánchez,28,Chile,89,Arsenal,€67.5M,RM
L. Modrić,31,Croatia,89,Real Madrid CF,€57M,CDM
G. Bale,27,Wales,89,Real Madrid CF,€69.5M,RW
S. Agüero,29,Argentina,89,Manchester City,€66.5M,ST
G. Chiellini,32,Italy,89,Juventus,€38M,CB
G. Buffon,39,Italy,89,Juventus,€4.5M,GK
P. Dybala,23,Argentina,88,Juventus,€79M,ST
J. Oblak,24,Slovenia,88,Atlético Madrid,€57M,GK
A. Griezmann,26,France,88,Atlético Madrid,€75M,LW
Thiago,26,Spain,88,FC Bayern Munich,€70.5M,CDM
P. Aubameyang,28,Gabon,88,Borussia Dortmund,€61M,ST
L. Bonucci,30,Italy,88,Milan,€44M,CB
J. Boateng,28,Germany,88,FC Bayern Munich,€48M,CB
D. Godín,31,Uruguay,88,Atlético Madrid,€40M,CB
M. Hummels,28,Germany,88,FC Bayern Munich,€48M,CB
M. Özil,28,Germany,88,Arsenal,€60M,RW
H. Lloris,30,France,88,Tottenham Hotspur,€38M,GK
Thiago Silva,32,Brazil,88,Paris Saint-Germain,€34M,CB
Z. Ibrahimović,35,Sweden,88,Manchester United,€27M,ST
A. Robben,33,Netherlands,88,FC Bayern Munich,€36M,RW
N. Kanté,26,France,87,Chelsea,€52.5M,CM
